town,candidate,votes
North Brookfield,Yes,825.0
Avon,Yes,819.0
Paxton,Yes,813.0
Deerfield,Yes,812.0
Holland,No,812.0
Buckland,No,800.0
Stockbridge,No,796.0
Dunstable,Yes,794.0
Warren,Yes,791.0
Ashby,Yes,780.0
Westhampton,No,762.0
Brimfield,Yes,736.0
East Brookfield,No,730.0
Pelham,No,713.0
Hinsdale,No,699.0
Whately,No,669.0
Colrain,No,664.0
Gill,No,659.0
Brookfield,Yes,658.0
Plympton,Yes,657.0
Truro,Yes,650.0
West Brookfield,Yes,647.0
Tyngsborough,Yes,645.0
Wales,No,644.0
Phillipston,No,641.0
Becket,No,632.0
Millville,Yes,625.0
Richmond,No,624.0
West Stockbridge,No,615.0
Clarksburg,No,611.0
Granville,No,591.0
Russell,No,585.0
Cheshire,Yes,577.0
Sheffield,Yes,566.0
Erving,No,563.0
New Marlborough,No,555.0
Northfield,Yes,554.0
Otis,No,545.0
Chesterfield,No,541.0
Lanesborough,Yes,534.0
Holland,Yes,527.0
Charlemont,No,513.0
Worthington,No,513.0
Hatfield,Yes,509.0
Egremont,No,497.0
Petersham,No,487.0
Goshen,No,482.0
Blandford,No,471.0
Sunderland,Yes,468.0
Chester,No,458.0
Stockbridge,Yes,450.0
East Brookfield,Yes,443.0
Wendell,No,436.0
Hardwick,Yes,424.0
Chilmark,Yes,423.0
Royalston,No,415.0
New Braintree,No,411.0
Cummington,No,409.0
New Salem,No,400.0
Hinsdale,Yes,399.0
Granville,Yes,372.0
Phillipston,Yes,368.0
Becket,Yes,366.0
Westhampton,Yes,357.0
Wales,Yes,352.0
Leyden,No,350.0
Montgomery,No,348.0
Richmond,Yes,347.0
Bernardston,Yes,346.0
Peru,No,345.0
Whately,Yes,344.0
Williamsburg,Yes,341.0
Monterey,No,339.0
Conway,Yes,334.0
Windsor,No,333.0
Chilmark,No,330.0
Otis,Yes,328.0
Huntington,Yes,323.0
Oakham,Yes,323.0
Warwick,No,321.0
Heath,No,318.0
Egremont,Yes,313.0
Petersham,Yes,309.0
Plainfield,No,291.0
Shutesbury,Yes,290.0
Sandisfield,No,289.0
New Marlborough,Yes,287.0
Gill,Yes,277.0
Leverett,Yes,272.0
Royalston,Yes,266.0
Clarksburg,Yes,263.0
Hancock,No,260.0
Colrain,Yes,259.0
Ashfield,Yes,257.0
West Stockbridge,Yes,255.0
Savoy,No,249.0
Buckland,Yes,247.0
Russell,Yes,243.0
Worthington,Yes,234.0
Florida,No,234.0
Blandford,Yes,233.0
Middlefield,No,229.0
Chester,Yes,224.0
Washington,No,216.0
Chesterfield,Yes,212.0
Erving,Yes,208.0
Charlemont,Yes,205.0
Tyringham,No,198.0
New Braintree,Yes,195.0
Windsor,Yes,193.0
New Salem,Yes,192.0
Monterey,Yes,187.0
Pelham,Yes,181.0
Alford,No,177.0
Tolland,No,173.0
Montgomery,Yes,169.0
Aquinnah,Yes,168.0
Rowe,No,164.0
Sandisfield,Yes,156.0
Peru,Yes,154.0
Cummington,Yes,147.0
Wendell,Yes,145.0
Hawley,No,145.0
Goshen,Yes,143.0
Savoy,Yes,141.0
Florida,Yes,140.0
Leyden,Yes,140.0
Warwick,Yes,136.0
Tolland,Yes,135.0
Hancock,Yes,128.0
Heath,Yes,128.0
Alford,Yes,125.0
Plainfield,Yes,120.0
New Ashford,No,109.0
Aquinnah,No,107.0
Washington,Yes,105.0
Tyringham,Yes,88.0
Middlefield,Yes,75.0
Rowe,Yes,67.0
Hawley,Yes,57.0
Mount Washington,Yes,50.0
Mount Washington,No,50.0
New Ashford,Yes,48.0
Gosnold,Yes,39.0
Monroe,No,37.0
Gosnold,No,31.0
Monroe,Yes,20.0
Shelburne,Yes,0.0
Shelburne,No,0.0
