town,candidate,votes
Southborough,Trump,1895.0
Nantucket,Trump,1892.0
Bolton,Clinton,1891.0
Millis,Trump,1890.0
Merrimac,Clinton,1884.0
Littleton,Trump,1876.0
Northampton,Trump,1870.0
Southwick,Clinton,1859.0
Marion,Clinton,1857.0
Ware,Clinton,1852.0
Blackstone,Clinton,1850.0
Lancaster,Clinton,1840.0
West Boylston,Trump,1837.0
Groveland,Clinton,1822.0
Mattapoisett,Trump,1818.0
Rowley,Trump,1809.0
Upton,Trump,1808.0
Chatham,Trump,1796.0
Winchendon,Clinton,1787.0
Edgartown,Clinton,1786.0
Douglas,Clinton,1780.0
Halifax,Clinton,1776.0
Hopedale,Clinton,1759.0
Southampton,Clinton,1744.0
Rochester,Trump,1739.0
Sherborn,Clinton,1718.0
Newbury,Trump,1716.0
Mendon,Trump,1694.0
Southampton,Trump,1692.0
West Tisbury,Clinton,1688.0
Granby,Trump,1684.0
Rowley,Clinton,1679.0
Wayland,Trump,1679.0
Maynard,Trump,1670.0
Lancaster,Trump,1650.0
Hampden,Trump,1643.0
Weston,Trump,1642.0
West Bridgewater,Clinton,1623.0
Cohasset,Trump,1621.0
Granby,Clinton,1620.0
West Newbury,Clinton,1620.0
Merrimac,Trump,1618.0
Shirley,Clinton,1615.0
Dighton,Clinton,1602.0
Plymouth,Johnson,1575.0
North Adams,Trump,1567.0
Topsfield,Trump,1566.0
Chelsea,Trump,1558.0
Wellfleet,Clinton,1547.0
Orange,Trump,1540.0
Mendon,Clinton,1528.0
Ashburnham,Trump,1522.0
Orleans,Trump,1511.0
Templeton,Clinton,1507.0
Ayer,Trump,1498.0
Orange,Clinton,1482.0
Hamilton,Trump,1475.0
Quincy,Johnson,1454.0
Newton,Johnson,1447.0
Ashburnham,Clinton,1439.0
Berkley,Clinton,1430.0
Barre,Trump,1429.0
Shirley,Trump,1425.0
Boylston,Clinton,1422.0
Lowell,Johnson,1421.0
North Brookfield,Trump,1413.0
Hopedale,Trump,1375.0
Hubbardston,Trump,1373.0
Rockport,Trump,1371.0
Wenham,Clinton,1368.0
Rochester,Clinton,1366.0
Springfield,Johnson,1363.0
Sunderland,Clinton,1351.0
Haverhill,Johnson,1331.0
Nahant,Clinton,1325.0
Adams,Trump,1285.0
Hatfield,Clinton,1278.0
Essex,Clinton,1268.0
Warren,Trump,1266.0
Stow,Trump,1261.0
Avon,Clinton,1253.0
Sheffield,Clinton,1241.0
Amherst,Trump,1233.0
Williamsburg,Clinton,1206.0
Paxton,Clinton,1204.0
Barre,Clinton,1201.0
Eastham,Trump,1198.0
Paxton,Trump,1194.0
Framingham,Johnson,1189.0
Hampden,Clinton,1188.0
Princeton,Clinton,1183.0
Cambridge,Johnson,1183.0
Worcester,Stein,1159.0
Marion,Trump,1156.0
Weymouth,Johnson,1155.0
Dover,Trump,1137.0
Beverly,Johnson,1137.0
Boylston,Trump,1124.0
Brimfield,Trump,1113.0
Somerville,Johnson,1100.0
Truro,Clinton,1095.0
Montague,Trump,1094.0
Chelmsford,Johnson,1084.0
Leominster,Johnson,1068.0
Avon,Trump,1067.0
Chicopee,Johnson,1046.0
Barnstable,Johnson,1040.0
Hubbardston,Clinton,1039.0
Bolton,Trump,1036.0
Westfield,Johnson,1032.0
Taunton,Johnson,1026.0
West Newbury,Trump,1020.0
Attleboro,Johnson,1019.0
Northfield,Clinton,1013.0
Berlin,Clinton,1009.0
West Brookfield,Trump,1008.0
Lanesborough,Clinton,998.0
Leverett,Clinton,996.0
Cambridge,Stein,987.0
Franklin,Johnson,985.0
Cheshire,Clinton,978.0
Shutesbury,Clinton,976.0
Ashby,Trump,974.0
Billerica,Johnson,972.0
Stockbridge,Clinton,963.0
Peabody,Johnson,962.0
Waltham,Johnson,955.0
Dunstable,Clinton,954.0
New Bedford,Johnson,954.0
Manchester,Trump,953.0
Dalton,Trump,939.0
Brookfield,Trump,933.0
Fall River,Johnson,933.0
Marlborough,Johnson,926.0
Lynn,Johnson,911.0
Brockton,Johnson,907.0
North Brookfield,Clinton,906.0
Warren,Clinton,904.0
Princeton,Trump,898.0
Shrewsbury,Johnson,892.0
Andover,Johnson,885.0
Harvard,Trump,884.0
Plympton,Trump,883.0
Medford,Johnson,878.0
Millville,Trump,874.0
Conway,Clinton,865.0
West Brookfield,Clinton,865.0
Hadley,Trump,864.0
Nahant,Trump,858.0
North Attleborough,Johnson,854.0
Natick,Johnson,850.0
Lee,Trump,848.0
Dunstable,Trump,837.0
Ashfield,Clinton,836.0
Tewksbury,Johnson,832.0
Dracut,Johnson,821.0
Shelburne,Clinton,813.0
Westford,Johnson,812.0
Somerville,Stein,812.0
Fitchburg,Johnson,805.0
Methuen,Johnson,799.0
Brimfield,Clinton,793.0
North Andover,Johnson,784.0
Springfield,Stein,784.0
Woburn,Johnson,783.0
Edgartown,Trump,779.0
Wenham,Trump,773.0
Deerfield,Trump,767.0
Essex,Trump,757.0
Pittsfield,Johnson,757.0
Boxborough,Trump,755.0
Braintree,Johnson,755.0
Berlin,Trump,745.0
Walpole,Johnson,745.0
Needham,Johnson,744.0
Salem,Johnson,744.0
Cheshire,Trump,741.0
Pelham,Clinton,738.0
Oak Bluffs,Trump,737.0
Carlisle,Trump,732.0
Plympton,Clinton,727.0
Arlington,Johnson,727.0
Brookline,Johnson,722.0
Ashby,Clinton,720.0
Holland,Trump,717.0
Falmouth,Johnson,713.0
Bernardston,Clinton,710.0
Hardwick,Trump,708.0
Brookfield,Clinton,706.0
Buckland,Clinton,700.0
Richmond,Clinton,696.0
Mansfield,Johnson,696.0
Gloucester,Johnson,693.0
Marshfield,Johnson,693.0
Danvers,Johnson,687.0
Hingham,Johnson,682.0
Wakefield,Johnson,674.0
Middleborough,Johnson,673.0
Melrose,Johnson,672.0
Reading,Johnson,672.0
Marblehead,Johnson,665.0
East Brookfield,Trump,661.0
West Stockbridge,Clinton,659.0
Hatfield,Trump,659.0
Holden,Johnson,657.0
Norwood,Johnson,652.0
Agawam,Johnson,651.0
Wellesley,Johnson,643.0
Malden,Johnson,641.0
Oakham,Trump,633.0
Westhampton,Clinton,629.0
Northampton,Stein,627.0
Watertown,Johnson,625.0
Millville,Clinton,624.0
Egremont,Clinton,621.0
Bridgewater,Johnson,619.0
Chilmark,Clinton,617.0
Sherborn,Trump,615.0
Lincoln,Trump,613.0
Huntington,Trump,611.0
Lexington,Johnson,610.0
Hinsdale,Clinton,606.0
Dartmouth,Johnson,606.0
Hudson,Johnson,598.0
Lanesborough,Trump,597.0
Milford,Johnson,597.0
Amherst,Stein,597.0
Milton,Johnson,595.0
West Springfield,Johnson,589.0
Pembroke,Johnson,588.0
Gardner,Johnson,587.0
New Bedford,Stein,584.0
Grafton,Johnson,583.0
Whately,Clinton,582.0
Great Barrington,Trump,580.0
Gill,Clinton,579.0
Foxborough,Johnson,578.0
Winchester,Johnson,578.0
Lenox,Trump,575.0
Dedham,Johnson,571.0
Becket,Clinton,568.0
Canton,Johnson,568.0
Northbridge,Johnson,568.0
Hardwick,Clinton,565.0
New Marlborough,Clinton,564.0
