town,candidate,votes
Douglas,Yes,2795.0
Cohasset,No,2789.0
Holbrook,No,2781.0
Sutton,Yes,2777.0
Montague,Yes,2773.0
Southborough,Yes,2769.0
Acushnet,Yes,2768.0
Winchendon,Yes,2735.0
Middleton,No,2728.0
Littleton,No,2713.0
Salisbury,Yes,2695.0
Leicester,No,2694.0
Spencer,No,2692.0
Boxford,No,2681.0
Palmer,No,2675.0
Blackstone,Yes,2669.0
Southwick,Yes,2651.0
Acushnet,No,2648.0
Monson,Yes,2646.0
Freetown,Yes,2634.0
Rockport,Yes,2630.0
Dudley,No,2614.0
Plainville,Yes,2611.0
Chatham,No,2611.0
Hull,No,2608.0
Southwick,No,2604.0
Millis,Yes,2594.0
Sturbridge,No,2592.0
Georgetown,Yes,2552.0
Upton,Yes,2526.0
Sterling,No,2516.0
Newbury,Yes,2509.0
Ware,Yes,2491.0
Boxford,Yes,2479.0
Rutland,No,2467.0
Maynard,No,2457.0
Sterling,Yes,2440.0
Georgetown,No,2433.0
Rutland,Yes,2415.0
Millis,No,2401.0
Ayer,Yes,2399.0
Stow,Yes,2376.0
Hamilton,No,2373.0
Great Barrington,Yes,2362.0
Middleton,Yes,2359.0
Freetown,No,2350.0
Halifax,Yes,2336.0
Nantucket,No,2320.0
Westminster,Yes,2314.0
Hamilton,Yes,2312.0
Topsfield,No,2301.0
Orleans,No,2297.0
Adams,Yes,2286.0
West Boylston,No,2261.0
Westminster,No,2260.0
Townsend,No,2258.0
Rockport,No,2257.0
Plainville,No,2245.0
Orleans,Yes,2226.0
Mattapoisett,No,2192.0
North Adams,No,2169.0
Dighton,Yes,2165.0
Cohasset,Yes,2165.0
Athol,No,2163.0
Williamstown,Yes,2157.0
Merrimac,Yes,2130.0
Templeton,Yes,2124.0
Douglas,No,2116.0
West Bridgewater,No,2108.0
Groveland,Yes,2089.0
West Boylston,Yes,2082.0
Upton,No,2075.0
Halifax,No,2075.0
Newbury,No,2072.0
Mattapoisett,Yes,2053.0
Stow,No,2052.0
West Bridgewater,Yes,2051.0
Dover,No,2043.0
Salisbury,No,2040.0
Lincoln,Yes,2018.0
Lancaster,No,1987.0
Shirley,Yes,1976.0
Lancaster,Yes,1976.0
Granby,Yes,1971.0
Groveland,No,1971.0
Berkley,Yes,1944.0
Monson,No,1943.0
Rowley,Yes,1931.0
Harvard,Yes,1925.0
Chatham,Yes,1924.0
Ware,No,1923.0
Ashburnham,Yes,1918.0
Southampton,Yes,1912.0
Blackstone,No,1908.0
Southampton,No,1880.0
Orange,Yes,1878.0
Eastham,Yes,1875.0
Dighton,No,1863.0
Templeton,No,1861.0
Mendon,Yes,1848.0
Oak Bluffs,Yes,1843.0
Winchendon,No,1823.0
Manchester,Yes,1811.0
Hopedale,Yes,1804.0
Eastham,No,1783.0
Manchester,No,1771.0
Harvard,No,1766.0
Lincoln,No,1765.0
Rochester,Yes,1751.0
Hadley,Yes,1741.0
Dalton,Yes,1740.0
Bolton,Yes,1738.0
Merrimac,No,1733.0
Topsfield,Yes,1725.0
Carlisle,Yes,1720.0
Provincetown,Yes,1717.0
Adams,No,1714.0
Ayer,No,1706.0
Tisbury,Yes,1693.0
Mendon,No,1690.0
Edgartown,Yes,1671.0
Dalton,No,1670.0
Barre,Yes,1668.0
Deerfield,Yes,1664.0
Granby,No,1664.0
Lee,Yes,1660.0
Hopedale,No,1651.0
Rochester,No,1644.0
Berkley,No,1628.0
Marion,Yes,1626.0
Marion,No,1615.0
Montague,No,1613.0
Lenox,Yes,1607.0
West Tisbury,Yes,1578.0
Dover,Yes,1574.0
Bolton,No,1574.0
Carlisle,No,1556.0
Hubbardston,Yes,1538.0
Boxborough,Yes,1533.0
West Newbury,Yes,1530.0
Hampden,No,1524.0
Boxborough,No,1489.0
Hadley,No,1487.0
North Brookfield,Yes,1459.0
Orange,No,1456.0
Ashburnham,No,1445.0
Paxton,No,1443.0
Rowley,No,1427.0
Wellfleet,Yes,1426.0
West Newbury,No,1425.0
Boylston,No,1417.0
Lenox,No,1414.0
Shirley,No,1408.0
Hampden,Yes,1401.0
Boylston,Yes,1400.0
Williamstown,No,1386.0
Sherborn,No,1377.0
Deerfield,No,1353.0
Lee,No,1349.0
Warren,Yes,1334.0
Great Barrington,No,1321.0
Wenham,No,1303.0
Princeton,Yes,1290.0
Sherborn,Yes,1264.0
Essex,Yes,1249.0
Sunderland,Yes,1240.0
Nahant,Yes,1240.0
Avon,Yes,1234.0
Paxton,Yes,1225.0
Barre,No,1225.0
Avon,No,1205.0
Hubbardston,No,1190.0
Wenham,Yes,1139.0
Sheffield,Yes,1124.0
Oak Bluffs,No,1120.0
Brimfield,Yes,1113.0
Ashby,Yes,1110.0
West Brookfield,Yes,1109.0
Hatfield,Yes,1107.0
North Brookfield,No,1100.0
Williamsburg,Yes,1085.0
Dunstable,Yes,1083.0
Nahant,No,1075.0
Edgartown,No,1061.0
Berlin,Yes,1051.0
Cheshire,Yes,1039.0
Princeton,No,1039.0
Warren,No,1025.0
Lanesborough,Yes,1016.0
Brookfield,Yes,1012.0
Hatfield,No,1008.0
Brimfield,No,993.0
West Brookfield,No,964.0
Truro,Yes,963.0
Essex,No,960.0
Millville,Yes,955.0
Plympton,Yes,951.0
Northfield,Yes,937.0
Dunstable,No,928.0
Shutesbury,Yes,924.0
Leverett,Yes,896.0
Berlin,No,867.0
Tisbury,No,848.0
Cheshire,No,824.0
Holland,Yes,809.0
Northfield,No,803.0
Plympton,No,798.0
Brookfield,No,793.0
