"town","cl_yes_pct","charter_yes_pct","mj_yes_pct","TotalPop","PopDen","MedHouseIncome","PctYoung","PctCollege","PctFemale","PctWhite"
"boxborough",0.724653537563822,0.425716189207195,0.507279947054931,5287,514.012383897675,103556,0.438812180820881,0.732763375620519,0.491393985246832,0.752411575562701
"boxford",0.527969018932874,0.493158717748241,0.480426356589147,8198,348.019191323931,153578,0.359355940473286,0.625302872966425,0.508538667967797,0.929738960722127
"boylston",0.558523173605656,0.39344262295082,0.496982605608804,4480,278.931833773435,93197,0.366741071428572,0.535021888680425,0.481696428571429,0.902678571428571
"braintree",0.552508970170835,0.313316582914573,0.456688979918074,37066,3266.26634402701,84455.791641936,0.412237630173204,0.403316656003629,0.529110235795608,0.815248475692009
"brewster",0.616690926734595,0.452176532610333,0.481531329445192,9879,432.093539114836,70906.657455208,0.280089077841887,0.510380429491367,0.52333232108513,0.957384350642778
"bridgewater",0.475910693301998,0.338278931750742,0.494181536074476,25530,1796.45607300174,84071.9310223267,0.516216216216216,0.386242318028013,0.499921660791226,0.860242851547199
"brimfield",0.416054564533054,0.351984696317551,0.528490028490028,3718,107.016216686096,83273,0.34803657880581,0.375227025063567,0.488703604088219,0.984400215169446
"brockton",0.7422591912853,0.383037825059102,0.516710576951541,94813,6624.93090379741,51155.2696149262,0.485038971449063,0.169670868596909,0.519707213145877,0.395525929988504
"brookfield",0.430750457596095,0.3671875,0.560664819944598,3386,217.790937894936,63906,0.39722386296515,0.329855537720706,0.47282929710573,0.909332545776728
"brookline",0.884029574861368,0.372845673505798,0.609580795921258,59180,17490.0866852885,103870.891889152,0.522372423115918,0.817123091533299,0.551824940858398,0.715782358905035
"burlington",0.58245911755631,0.356325170265179,0.45089414479377,25698,2594.41562840009,93175.0848315044,0.41559654447817,0.486169119359738,0.502568293252393,0.763600280177446
"cambridge",0.932178722165624,0.374775546849494,0.71304698527929,108757,22204.8761487265,82712.5452154804,0.60063260295889,0.762732850277281,0.512270474544167,0.621532407109428
"canton",0.605274279435382,0.379576567971983,0.465364542147715,22562,1854.01966145101,91301.2341547735,0.402756847797181,0.54756586238084,0.536122684159206,0.808217356617321
"carlisle",0.758734344100198,0.490314769975787,0.525030525030525,5125,335.737541680587,167400,0.341853658536585,0.844356881508584,0.501463414634146,0.847219512195122
"carver",0.439901737146868,0.391885364675576,0.534913516976297,11557,391.582774168696,78281.8930518301,0.357532231547979,0.2265092682939,0.501687289088864,0.937180929306914
"charlton",0.412616181624257,0.359827394209354,0.520343205092721,13292,315.559236156806,91064.7201324105,0.398435148961782,0.321844346702421,0.54371050255793,0.965768883538971
"chatham",0.571462658076831,0.508880994671403,0.42425578831312,3238,570.236479218349,66852,0.241198270537368,0.541167375338229,0.515750463248918,0.873069796170476
"chelmsford",0.580910344827586,0.390146739952599,0.491008639742817,34906,1658.31330202589,104159.459491205,0.384060046983327,0.508361871994657,0.514582020283046,0.85317710422277
"chelsea",0.825980118396068,0.447749196141479,0.552296062281395,38244,24958.331268126,51923.5846145801,0.539587909214517,0.169718427650946,0.489122476728376,0.232088693651292
"cheshire",0.568935427574171,0.313076505697233,0.557702630166398,3192,119.066664185655,58145,0.332080200501253,0.191236691236691,0.503446115288222,0.976503759398496
"chesterfield",0.59789156626506,0.281540504648074,0.641095890410959,1243,40.2843394628774,66500,0.364440868865648,0.407040704070408,0.507642799678199,0.978278358809332
"chicopee",0.55627227209166,0.332600422832981,0.537942664418212,56100,3573.64407454737,51246.3211586453,0.439055258467023,0.181447769591568,0.510926916221034,0.743903743315508
"chilmark",0.867791842475387,0.561752988047809,0.707152496626181,4171,66.6358961092932,78854,0.337329177655239,0.500156494522691,0.596020139055383,0.865739630783985
"clarksburg",0.609318996415771,0.30091533180778,0.533333333333333,1652,130.187234136812,60404,0.348668280871671,0.218620116375728,0.484261501210654,0.98728813559322
"clinton",0.577234506384304,0.376755517340212,0.563587111491303,13759,2947.61568576514,63964.513845483,0.436150883058362,0.339184758290934,0.506068754996729,0.788284032269787
"cohasset",0.639937805419813,0.521747967479675,0.437020589422689,8316,849.508793348645,128224,0.392857142857142,0.705412599822538,0.507936507936508,0.978114478114478
"concord",0.80890720031391,0.495799853907962,0.50411876527564,19432,1148.11793509585,141030.848909016,0.34607863318238,0.702534048242857,0.486362700699876,0.831772334293948
"dalton",0.699423815620999,0.299140231248147,0.510263929618768,6682,306.761558001823,55774,0.342861418736905,0.356425702811245,0.493564800957797,0.943729422328644
"danvers",0.543018734535171,0.329930852815278,0.475326037092863,27558,2383.65124615658,81255.0754408883,0.398758981058132,0.407916871183533,0.51603889977502,0.911749764133827
"dartmouth",0.559345425867508,0.382896379525593,0.519721721846077,29373,992.952530510175,75402.355088006,0.46869574098662,0.273528739215334,0.490041875191503,0.879651380519525
