"Gordon, Kenneth",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1
"Gregoire, Danielle",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1
"Haddad, Patricia",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Harrington, Sheila",0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
"Hay, Stephan",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,0,1,0,0,1,1
"Hecht, Jonathan",1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0
"Heroux, Paul",1,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,1,0,0,1,0,0,1,1
"Hill, Bradford",0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Hogan, Kate",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Holmes, Russell",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0
"Honan, Kevin",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Howitt, Steven",0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Hunt, Dan",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Hunt, Randy",0,1,1,1,0,1,0,0,1,0,0.5,0,1,1,1,0,1,1,0,1,0,1,1
"Jones, Bradley",0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Kafka, Louis",1,0,0,0,1,0.5,0.5,0.5,0.5,0.5,1,0,1,1,0,1,0,0,1,0,0,1,1
"Kane, Hannah",0.5,0.5,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
"Kaufman, Jay",1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
"Keefe, Mary",1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0.5,0,1,0
"Kelcourse, James",0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1
"Khan, Kay",1,0,0,0,1,0,0,0,0,0,0.5,0,1,1,0,1,0,0,1,0,0.5,1,0
"Kocot, Peter",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0
"Koczera, Robert",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0.5,0,0,1,0,0,1,1
"Kulik, Stephen",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Kuros, Kevin",0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1
"Lawn, John",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Linsky, David",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Livingstone, Jay",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0
"Lombardo, Marc",0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1
"Lyons, James",0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
"Madaro, Adrian",0.5,0.5,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0.5,0.5,0,1,0
"Madden, Timothy",1,0,0,0,1,0,0,0,0,0,1,0.5,1,1,0,1,0,0,1,0.5,0,1,1
"Mahoney, John",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Malia, Elizabeth",1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0
"Mannal, Brian",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0
"Mariano, Ronald",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1
"Mark, Paul",1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0.5,0.5,0,1,1
"Markey, Christopher",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1
"McGonagle, Joseph",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1
"McKenna, Joseph",0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1
"McMurtry, Paul",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Miceli, James",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
"Michlewitz, Aaron",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Mirra, Leonard",0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Mom, Rady",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1
"Moran, Frank",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0
"Moran, Michael",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Muradian, David",0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
"Muratore, Mathew",0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Murphy, James",1,0,0,0,1,0.5,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1
"Nangle, David",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
"Naughton, Harold",1,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0,1,0,0.5,1,1,0,1,1
"O'Connell, Shaunna",0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1
"O'Day, James",1,0,0,0,1,0,0,0,0,1,0.5,0,1,1,0,1,0,0,1,0,0,1,1
"Orrall, Keiko",0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Parisella, Jerald",1,0,0,0,1,0.5,0.5,0.5,0.5,0.5,1,0,1,1,0,1,0,0,1,0.5,0,1,1
"Peake, Sarah",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Peisch, Alice",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Petrolati, Thomas",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1
"Pignatelli, William",1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1
"Poirier, Elizabeth",0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Provost, Denise",1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0.5,1,0,0,1,0
"Puppolo, Angelo",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1
"Rogers, David",1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0.5,1,0,0,1,0
"Rogers, John",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
"Rosa, Dennis",1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1
"Roy, Jeffrey",1,0,0,0,1,0,0,0,0,0,1,0.5,1,1,0,1,0,0,1,0.5,0,1,1
"Rushing, Byron",1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
"Ryan, Dan",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.5,0,1,0,0,1,0
"Snchez, Jeffrey",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0
"Sannicandro, Tom",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0.5,0,0.5,0
"Scaccia, Angelo",1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1
"Schmid, Paul",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Scibak, John",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Silvia, Alan",1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1
"Smizik, Frank",1,0,0,0,1,0,0,0,0,1,1,1,0.5,1,0,1,0,0,1,0,0,1,0
"Smola, Todd",0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Speliotis, Theodore",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Stanley, Thomas",1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1
