0.74,"Gordon, Kenneth",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0
0.74,"Gregoire, Danielle",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0
0.78,"Haddad, Patricia",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.26,"Harrington, Sheila",(R),0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.89,"Hay, Stephan",(D),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0
1.00,"Hecht, Jonathan",(D),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.74,"Heroux, Paul",(D),1,0,1,1,1,1,1,1,1,0,0,0,NA,1,1,1,1,1,1,1,1,1,0
0.22,"Hill, Bradford",(R),0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.78,"Hogan, Kate",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.74,"Holmes, Russell",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1
0.78,"Honan, Kevin",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.22,"Howitt, Steven",(R),0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.78,"Hunt, Dan",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.26,"Hunt, Randy",(R),0,1,0,0,0,0,1,1,0,0,NA,0,0,1,0,0,0,0,0,0,1,1,0
0.13,"Jones, Bradley",(R),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.61,"Kafka, Louis",(D),1,0,1,1,1,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,1,1,1,1,0
0.29,"Kane, Hannah",(R),NA,NA,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.87,"Kaufman, Jay",(D),1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
0.87,"Keefe, Mary",(D),1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,NA,1,1,1
0.35,"Kelcourse, James",(R),0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
0.74,"Khan, Kay",(D),1,0,1,1,1,1,1,1,1,0,NA,0,0,1,1,1,1,1,1,1,NA,1,1
0.83,"Kocot, Peter",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
0.74,"Koczera, Robert",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,NA,1,1,1,1,1,1,0
0.78,"Kulik, Stephen",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.13,"Kuros, Kevin",(R),0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.78,"Lawn, John",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.78,"Linsky, David",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.83,"Livingstone, Jay",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
0.13,"Lombardo, Marc",(R),0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.09,"Lyons, James",(R),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.76,"Madaro, Adrian",(D),NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,NA,NA,1,1,1
0.74,"Madden, Timothy",(D),1,0,1,1,1,1,1,1,1,0,1,NA,0,1,1,1,1,1,1,NA,1,1,0
0.78,"Mahoney, John",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.91,"Malia, Elizabeth",(D),1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0.83,"Mannal, Brian",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
