Incident_Num,Shooting_Date,DISTRICT,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim
I152055311,7/4/2015 22:47,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055311,7/4/2015 22:47,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055319,7/5/2015 0:40,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152055319,7/5/2015 0:40,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I150356925,7/4/2015 3:15,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055577,7/5/2015 23:39,B2,Non-Fatal,Male,White,Hispanic or Latinx,f
I152055608,7/6/2015 3:29,C6,Non-Fatal,Male,White,Hispanic or Latinx,f
I152056444,7/8/2015 17:50,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I150373043,7/11/2015 17:57,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057410,7/11/2015 22:50,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057392,7/11/2015 22:14,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057567,7/12/2015 16:25,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057685,7/13/2015 12:33,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152057684,7/12/2015 23:47,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152057684,7/12/2015 23:47,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152058305,7/14/2015 18:52,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152059221,7/17/2015 20:05,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152059273,7/17/2015 23:57,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152059273,7/17/2015 23:57,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152059526,7/19/2015 0:09,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152060108,7/20/2015 23:06,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152059883,7/20/2015 10:35,E5,Fatal,Male,White,Hispanic or Latinx,f
I152060642,7/22/2015 18:56,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152061055,7/24/2015 1:30,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152061546,7/25/2015 15:26,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152061546,7/25/2015 15:26,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152062504,7/28/2015 22:32,B2,Fatal,Female,Black or African American,Hispanic or Latinx,f
I152061904,7/27/2015 0:09,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152061904,7/27/2015 0:09,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
I152061904,7/27/2015 0:09,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
