service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2020/09/01 04:00:00+00,Bus,Silver Line,296860,14136,21,386212,12874,30,626
2020/09/01 04:00:00+00,The RIDE,The RIDE,45219,2153,21,60279,2009,30,627
2020/10/01 04:00:00+00,Rail,Blue Line,534452,24293,22,702004,22645,31,628
2020/10/01 04:00:00+00,Ferry,Boat-F1,3958,247,16,,,31,629
2020/10/01 04:00:00+00,Ferry,Boat-F3,4858,220,22,,,31,630
2020/10/01 04:00:00+00,Ferry,Boat-F4,3586,170,22,,,31,631
2020/10/01 04:00:00+00,Bus,Bus,3397061,154412,22,4216339,136011,31,632
2020/10/01 04:00:00+00,Commuter Rail,Commuter Rail,607686,27622,22,408247,13169,31,633
2020/10/01 04:00:00+00,Rail,Green Line,840546,38207,22,1253515,40436,31,634
2020/10/01 04:00:00+00,Rail,Orange Line,1233353,56062,22,1578344,50914,31,635
2020/10/01 04:00:00+00,Rail,Red Line,1250838,56856,22,1624633,52408,31,636
2020/10/01 04:00:00+00,Bus,Silver Line,313541,14252,22,403971,13031,31,637
2020/10/01 04:00:00+00,The RIDE,The RIDE,47342,2254,21,64297,2074,31,638
2020/11/01 04:00:00+00,Rail,Blue Line,452224,22611,20,605109,20170,30,639
2020/11/01 04:00:00+00,Ferry,Boat-F1,3917,195,20,,,30,640
2020/11/01 04:00:00+00,Ferry,Boat-F3,3941,197,20,,,30,641
2020/11/01 04:00:00+00,Ferry,Boat-F4,2417,120,20,,,30,642
2020/11/01 04:00:00+00,Bus,Bus,2998614,149931,20,3785357,126179,30,643
2020/11/01 04:00:00+00,Commuter Rail,Commuter Rail,826869,39374,21,387367,12912,30,644
2020/11/01 04:00:00+00,Rail,Green Line,697183,34859,20,1033684,34456,30,645
2020/11/01 04:00:00+00,Rail,Orange Line,1042139,52107,20,1348731,44958,30,646
2020/11/01 04:00:00+00,Rail,Red Line,1059484,52974,20,1383293,46110,30,647
2020/11/01 04:00:00+00,Bus,Silver Line,275619,13781,20,365668,12189,30,648
2020/11/01 04:00:00+00,The RIDE,The RIDE,43975,2198,20,59815,1994,30,649
2020/12/01 05:00:00+00,Rail,Blue Line,446133,20279,22,561328,18107,31,650
2020/12/01 05:00:00+00,Bus,Bus,3082973,140135,22,3700267,119363,31,651
2020/12/01 05:00:00+00,Commuter Rail,Commuter Rail,536271,23316,22,327341,10559,31,652
2020/12/01 05:00:00+00,Ferry,Ferry,7876,358,22,7872,254,31,653
2020/12/01 05:00:00+00,Rail,Green Line,638425,29019,22,922213,29749,31,654
2020/12/01 05:00:00+00,Rail,Orange Line,1027769,46717,22,1223875,39480,31,655
2020/12/01 05:00:00+00,Rail,Red Line,1057385,48063,22,1299441,41917,31,656
2020/12/01 05:00:00+00,Bus,Silver Line,292129,13279,22,371044,11969,31,657
2020/12/01 05:00:00+00,The RIDE,The RIDE,44471,2021,22,59636,1924,31,658
2021/01/01 05:00:00+00,Rail,Blue Line,400358,21071,19,579780,18703,31,659
2021/01/01 05:00:00+00,Bus,Bus,2640328,138965,19,3501554,112954,31,660
2021/01/01 05:00:00+00,Commuter Rail,Commuter Rail,222252,11697,19,239143,7714,31,661
2021/01/01 05:00:00+00,Ferry,Ferry,6264,330,19,6264,202,31,662
2021/01/01 05:00:00+00,Rail,Green Line,651786,34305,19,1002223,32330,31,663
2021/01/01 05:00:00+00,Rail,Orange Line,902850,47518,19,1260968,40676,31,664
2021/01/01 05:00:00+00,Rail,Red Line,945461,49761,19,1321205,42620,31,665
2021/07/01 04:00:00+00,Rail,Red Line,1884121,85642,22,2454131,79166,31,666
2021/07/01 04:00:00+00,Bus,Silver Line,437004,19864,22,576309,18591,31,667
2021/07/01 04:00:00+00,The RIDE,The RIDE,56089,2550,22,67121,2165,31,668
2021/08/01 04:00:00+00,Rail,Blue Line,780122,35460,22,1014046,32711,31,669
2021/08/01 04:00:00+00,Bus,Bus,4328505,196751,22,5243797,169154,31,670
2021/08/01 04:00:00+00,Commuter Rail,Commuter Rail,736562,33480,22,860464,27757,31,671
2021/08/01 04:00:00+00,Ferry,Ferry,50021,2274,22,63607,2052,31,672
2021/08/01 04:00:00+00,Rail,Green Line,1384697,62941,22,1781397,57464,31,673
2021/08/01 04:00:00+00,Rail,Orange Line,1803697,81986,22,2264300,73042,31,674
2021/08/01 04:00:00+00,Rail,Red Line,2041921,92815,22,2561614,82633,31,675
2021/08/01 04:00:00+00,Bus,Silver Line,468132,21279,22,593842,19156,31,676
2021/08/01 04:00:00+00,The RIDE,The RIDE,56713,2578,22,67155,2166,31,677
2021/09/01 04:00:00+00,Rail,Blue Line,844658,40221,21,1105773,36859,30,678
2021/09/01 04:00:00+00,Bus,Bus,5014310,268875,21,6026467,200882,30,679
